FILE_VERSION	2.0.0
NO_OF_FRAMES	6129
NO_OF_CAMERAS	19
NO_OF_MARKERS	5
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2024-10-29, 10:57:32.417	441368.71789840
DATA_INCLUDED	3D
MARKER_NAMES	RWristOut	RWristIn	RElbowOut	RElbowIn	Chest
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	RWristOut X	RWristOut Y	RWristOut Z	RWristIn X	RWristIn Y	RWristIn Z	RElbowOut X	RElbowOut Y	RElbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	Chest X	Chest Y	Chest Z	
109	1.08000	-935.305	1273.264	-1003.893	-925.627	1260.364	-914.936	-731.923	1271.007	-1031.493	-735.365	1213.072	-954.064	-317.300	1298.797	-891.063
110	1.09000	-935.360	1273.199	-1003.919	-925.712	1260.411	-914.939	-732.004	1270.955	-1031.477	-735.421	1213.103	-954.007	-317.381	1298.821	-891.057
111	1.10000	-935.442	1273.160	-1003.915	-925.777	1260.471	-914.923	-732.069	1270.941	-1031.469	-735.488	1213.176	-953.942	-317.471	1298.861	-891.053
112	1.11000	-935.514	1273.166	-1003.907	-925.845	1260.516	-914.912	-732.140	1270.977	-1031.469	-735.539	1213.230	-953.929	-317.554	1298.911	-891.039
113	1.12000	-935.575	1273.231	-1003.907	-925.917	1260.550	-914.907	-732.204	1271.015	-1031.473	-735.632	1213.269	-953.931	-317.619	1298.934	-891.021
114	1.13000	-935.624	1273.327	-1003.896	-925.988	1260.552	-914.904	-732.282	1271.099	-1031.465	-735.719	1213.290	-953.940	-317.694	1298.965	-891.009
115	1.14000	-935.715	1273.428	-1003.879	-926.044	1260.559	-914.913	-732.356	1271.151	-1031.442	-735.810	1213.298	-953.964	-317.756	1298.994	-890.989
116	1.15000	-935.777	1273.500	-1003.892	-926.139	1260.559	-914.917	-732.438	1271.207	-1031.422	-735.877	1213.315	-954.006	-317.813	1299.032	-890.978
117	1.16000	-935.854	1273.521	-1003.910	-926.211	1260.603	-914.951	-732.505	1271.229	-1031.419	-735.940	1213.327	-953.977	-317.857	1299.045	-890.969
118	1.17000	-935.932	1273.547	-1003.952	-926.297	1260.675	-914.974	-732.565	1271.242	-1031.410	-736.014	1213.381	-953.970	-317.924	1299.066	-890.965
119	1.18000	-935.998	1273.538	-1003.989	-926.361	1260.765	-915.008	-732.629	1271.238	-1031.422	-736.091	1213.421	-953.912	-317.994	1299.088	-890.953
120	1.19000	-936.067	1273.583	-1004.029	-926.464	1260.888	-915.027	-732.690	1271.257	-1031.464	-736.159	1213.496	-953.899	-318.050	1299.100	-890.937
121	1.20000	-936.123	1273.665	-1004.065	-926.505	1260.993	-915.048	-732.736	1271.295	-1031.486	-736.240	1213.561	-953.925	-318.091	1299.138	-890.934
122	1.21000	-936.169	1273.783	-1004.080	-926.569	1261.078	-915.089	-732.779	1271.363	-1031.506	-736.301	1213.616	-953.939	-318.156	1299.126	-890.904
123	1.22000	-936.214	1273.921	-1004.106	-926.607	1261.162	-915.127	-732.822	1271.449	-1031.530	-736.358	1213.676	-954.006	-318.203	1299.133	-890.916
124	1.23000	-936.253	1274.038	-1004.115	-926.642	1261.204	-915.154	-732.864	1271.518	-1031.545	-736.437	1213.710	-954.044	-318.255	1299.163	-890.909
125	1.24000	-936.283	1274.150	-1004.136	-926.689	1261.258	-915.187	-732.908	1271.582	-1031.565	-736.479	1213.750	-954.081	-318.286	1299.193	-890.897
126	1.25000	-936.317	1274.221	-1004.168	-926.737	1261.328	-915.206	-732.952	1271.631	-1031.595	-736.529	1213.814	-954.090	-318.324	1299.220	-890.883
127	1.26000	-936.326	1274.263	-1004.217	-926.793	1261.421	-915.236	-732.979	1271.659	-1031.588	-736.558	1213.882	-954.095	-318.372	1299.234	-890.881
128	1.27000	-936.365	1274.279	-1004.258	-926.831	1261.538	-915.270	-732.990	1271.694	-1031.615	-736.577	1213.935	-954.068	-318.417	1299.256	-890.861
129	1.28000	-936.375	1274.303	-1004.311	-926.872	1261.634	-915.291	-733.012	1271.729	-1031.623	-736.623	1214.010	-954.065	-318.433	1299.285	-890.862
130	1.29000	-936.382	1274.358	-1004.343	-926.895	1261.735	-915.334	-733.037	1271.770	-1031.644	-736.638	1214.101	-954.044	-318.467	1299.301	-890.848
131	1.30000	-936.405	1274.433	-1004.369	-926.908	1261.792	-915.359	-733.038	1271.831	-1031.670	-736.670	1214.160	-954.102	-318.494	1299.307	-890.836
132	1.31000	-936.428	1274.562	-1004.404	-926.957	1261.842	-915.399	-733.075	1271.914	-1031.696	-736.694	1214.206	-954.123	-318.499	1299.342	-890.810
133	1.32000	-936.455	1274.680	-1004.415	-926.964	1261.899	-915.443	-733.092	1271.998	-1031.702	-736.744	1214.252	-954.172	-318.519	1299.342	-890.793
134	1.33000	-936.476	1274.815	-1004.439	-926.998	1261.941	-915.485	-733.112	1272.062	-1031.709	-736.777	1214.295	-954.215	-318.530	1299.367	-890.773
135	1.34000	-936.465	1274.897	-1004.471	-927.029	1262.007	-915.506	-733.116	1272.126	-1031.721	-736.810	1214.312	-954.237	-318.542	1299.373	-890.757
136	1.35000	-936.475	1274.939	-1004.526	-927.021	1262.073	-915.555	-733.121	1272.160	-1031.727	-736.808	1214.380	-954.206	-318.552	1299.395	-890.740
137	1.36000	-936.468	1274.969	-1004.573	-927.048	1262.167	-915.600	-733.106	1272.196	-1031.718	-736.816	1214.444	-954.208	-318.543	1299.400	-890.725
138	1.37000	-936.482	1274.996	-1004.621	-927.065	1262.257	-915.610	-733.095	1272.235	-1031.739	-736.800	1214.494	-954.204	-318.550	1299.424	-890.724
139	1.38000	-936.482	1275.046	-1004.660	-927.063	1262.394	-915.652	-733.091	1272.287	-1031.758	-736.793	1214.584	-954.185	-318.549	1299.454	-890.704
140	1.39000	-936.486	1275.105	-1004.696	-927.078	1262.519	-915.664	-733.102	1272.324	-1031.797	-736.820	1214.668	-954.177	-318.556	1299.489	-890.716
141	1.40000	-936.502	1275.217	-1004.734	-927.092	1262.620	-915.688	-733.093	1272.394	-1031.811	-736.842	1214.760	-954.180	-318.565	1299.518	-890.714
142	1.41000	-936.502	1275.376	-1004.741	-927.119	1262.730	-915.726	-733.112	1272.487	-1031.833	-736.880	1214.843	-954.202	-318.559	1299.545	-890.711
143	1.42000	-936.514	1275.541	-1004.770	-927.166	1262.853	-915.747	-733.131	1272.564	-1031.840	-736.900	1214.921	-954.224	-318.565	1299.576	-890.708
144	1.43000	-936.509	1275.716	-1004.793	-927.165	1262.951	-915.773	-733.140	1272.644	-1031.839	-736.940	1215.005	-954.230	-318.560	1299.600	-890.698
145	1.44000	-936.509	1275.828	-1004.809	-927.184	1263.084	-915.795	-733.143	1272.713	-1031.834	-736.964	1215.080	-954.235	-318.568	1299.628	-890.689
146	1.45000	-936.505	1275.911	-1004.828	-927.201	1263.245	-915.805	-733.138	1272.778	-1031.837	-736.963	1215.161	-954.215	-318.554	1299.643	-890.692
147	1.46000	-936.506	1276.004	-1004.850	-927.186	1263.394	-915.825	-733.129	1272.833	-1031.849	-736.980	1215.245	-954.198	-318.557	1299.647	-890.673
148	1.47000	-936.515	1276.080	-1004.854	-927.173	1263.552	-915.833	-733.142	1272.884	-1031.867	-736.983	1215.351	-954.181	-318.539	1299.670	-890.673
149	1.48000	-936.504	1276.175	-1004.860	-927.157	1263.706	-915.810	-733.134	1272.933	-1031.861	-736.999	1215.442	-954.147	-318.524	1299.698	-890.667
150	1.49000	-936.515	1276.313	-1004.846	-927.152	1263.868	-915.798	-733.121	1273.007	-1031.882	-737.003	1215.568	-954.131	-318.514	1299.720	-890.653
151	1.50000	-936.516	1276.473	-1004.824	-927.142	1263.998	-915.787	-733.118	1273.103	-1031.861	-737.018	1215.628	-954.146	-318.505	1299.741	-890.644
